action,|eMailAddress|,|firstName|,|lastName|,|company|,|industry|,|jobRole|,|street1|,|street2|,|state|,|postalCode|,|country|,|sfdcRole|,|gridEval|,|language|,|sfdcMailTemplate|,|phone|,|sfdcUserID|,|city|,|isActive|
create,sfdctest26@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12370,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567915,sfdctest26@nvidia.com,sfo,0
create,sfdctest27@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12371,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567916,sfdctest27@nvidia.com,sfo,0
create,sfdctest28@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12372,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567917,sfdctest28@nvidia.com,sfo,0
create,sfdctest29@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12373,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567918,sfdctest29@nvidia.com,sfo,0
create,sfdctest30@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12374,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567919,sfdctest30@nvidia.com,sfo,0
create,sfdctest31@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12375,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567920,sfdctest31@nvidia.com,sfo,0
create,sfdctest32@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12376,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567921,sfdctest32@nvidia.com,sfo,0
create,sfdctest33@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12377,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567922,sfdctest33@nvidia.com,sfo,0
create,sfdctest34@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12378,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567923,sfdctest34@nvidia.com,sfo,0
create,sfdctest35@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12379,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567924,sfdctest35@nvidia.com,sfo,0
create,sfdctest36@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12380,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567925,sfdctest36@nvidia.com,sfo,0
create,sfdctest37@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12381,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567926,sfdctest37@nvidia.com,sfo,0
create,sfdctest38@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12382,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567927,sfdctest38@nvidia.com,sfo,0
create,sfdctest39@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12383,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567928,sfdctest39@nvidia.com,sfo,0
create,sfdctest40@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12384,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567929,sfdctest40@nvidia.com,sfo,0
create,sfdctest41@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12385,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567930,sfdctest41@nvidia.com,sfo,0
create,sfdctest42@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12386,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567931,sfdctest42@nvidia.com,sfo,0
create,sfdctest43@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12387,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567932,sfdctest43@nvidia.com,sfo,0
create,sfdctest44@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12388,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567933,sfdctest44@nvidia.com,sfo,0
create,sfdctest45@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12389,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567934,sfdctest45@nvidia.com,sfo,0
create,sfdctest46@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12390,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567935,sfdctest46@nvidia.com,sfo,0
create,sfdctest47@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12391,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567936,sfdctest47@nvidia.com,sfo,0
create,sfdctest48@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12392,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567937,sfdctest48@nvidia.com,sfo,0
create,sfdctest49@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12393,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567938,sfdctest49@nvidia.com,sfo,0
create,sfdctest50@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12394,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567939,sfdctest50@nvidia.com,sfo,0
create,sfdctest51@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12395,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567940,sfdctest51@nvidia.com,sfo,0
create,sfdctest52@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12396,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567941,sfdctest52@nvidia.com,sfo,0
create,sfdctest53@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12397,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567942,sfdctest53@nvidia.com,sfo,0
create,sfdctest54@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12398,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567943,sfdctest54@nvidia.com,sfo,0
create,sfdctest55@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12399,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567944,sfdctest55@nvidia.com,sfo,0
create,sfdctest56@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12400,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567945,sfdctest56@nvidia.com,sfo,0
create,sfdctest57@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12401,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567946,sfdctest57@nvidia.com,sfo,0
create,sfdctest58@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12402,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567947,sfdctest58@nvidia.com,sfo,0
create,sfdctest59@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12403,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567948,sfdctest59@nvidia.com,sfo,0
create,sfdctest60@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12404,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567949,sfdctest60@nvidia.com,sfo,0
create,sfdctest61@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12405,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567950,sfdctest61@nvidia.com,sfo,0
create,sfdctest62@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12406,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567951,sfdctest62@nvidia.com,sfo,0
create,sfdctest63@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12407,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567952,sfdctest63@nvidia.com,sfo,0
create,sfdctest64@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12408,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567953,sfdctest64@nvidia.com,sfo,0
create,sfdctest65@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12409,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567954,sfdctest65@nvidia.com,sfo,0
create,sfdctest66@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12410,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567955,sfdctest66@nvidia.com,sfo,0
create,sfdctest67@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12411,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567956,sfdctest67@nvidia.com,sfo,0
create,sfdctest68@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12412,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567957,sfdctest68@nvidia.com,sfo,0
create,sfdctest69@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12413,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567958,sfdctest69@nvidia.com,sfo,0
create,sfdctest70@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12414,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567959,sfdctest70@nvidia.com,sfo,0
create,sfdctest71@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12415,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567960,sfdctest71@nvidia.com,sfo,0
create,sfdctest72@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12416,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567961,sfdctest72@nvidia.com,sfo,0
create,sfdctest73@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12417,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567962,sfdctest73@nvidia.com,sfo,0
create,sfdctest74@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12418,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567963,sfdctest74@nvidia.com,sfo,0
create,sfdctest75@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12419,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567964,sfdctest75@nvidia.com,sfo,0
create,sfdctest76@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12420,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567965,sfdctest76@nvidia.com,sfo,0
create,sfdctest77@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12421,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567966,sfdctest77@nvidia.com,sfo,0
create,sfdctest78@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12422,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567967,sfdctest78@nvidia.com,sfo,0
create,sfdctest79@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12423,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567968,sfdctest79@nvidia.com,sfo,0
create,sfdctest80@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12424,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567969,sfdctest80@nvidia.com,sfo,0
create,sfdctest81@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12425,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567970,sfdctest81@nvidia.com,sfo,0
create,sfdctest82@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12426,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567971,sfdctest82@nvidia.com,sfo,0
create,sfdctest83@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12427,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567972,sfdctest83@nvidia.com,sfo,0
create,sfdctest84@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12428,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567973,sfdctest84@nvidia.com,sfo,0
create,sfdctest85@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12429,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567974,sfdctest85@nvidia.com,sfo,0
create,sfdctest86@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12430,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567975,sfdctest86@nvidia.com,sfo,0
create,sfdctest87@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12431,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567976,sfdctest87@nvidia.com,sfo,0
create,sfdctest88@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12432,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567977,sfdctest88@nvidia.com,sfo,0
create,sfdctest89@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12433,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567978,sfdctest89@nvidia.com,sfo,0
create,sfdctest90@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12434,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567979,sfdctest90@nvidia.com,sfo,0
create,sfdctest91@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12435,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567980,sfdctest91@nvidia.com,sfo,0
create,sfdctest92@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12436,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567981,sfdctest92@nvidia.com,sfo,0
create,sfdctest93@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12437,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567982,sfdctest93@nvidia.com,sfo,0
create,sfdctest94@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12438,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567983,sfdctest94@nvidia.com,sfo,0
create,sfdctest95@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12439,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567984,sfdctest95@nvidia.com,sfo,0
create,sfdctest96@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12440,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567985,sfdctest96@nvidia.com,sfo,0
create,sfdctest97@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12441,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567986,sfdctest97@nvidia.com,sfo,0
create,sfdctest98@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12442,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567987,sfdctest98@nvidia.com,sfo,0
create,sfdctest99@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12443,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567988,sfdctest99@nvidia.com,sfo,0
create,sfdctest100@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12444,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567989,sfdctest100@nvidia.com,sfo,0
